sub_chapter_name,hsn,rate,chapter_name,sub_category_name,category_name
"ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",HSN 3402 90 11,18,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents",Synthetic detergents: 
"ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",HSN 3402 20 10,18,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents",Preparations put up for retail sale: 
"ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",HSN 3402 13 00,18,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Non-ionic,Anionic: 
"ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",HSN 3402 19 00,,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Other,Anionic: 
"ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",HSN 3402 12 00,18,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Cationinc,Anionic: 
"ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",HSN 3301 13 00,18,"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations",Of lemon,Essential oils of citrus fruit: 
"ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",HSN 3402 11 90,,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Other,Anionic: 
"ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",HSN 3402 11 10,18,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Silicone surfactant,Anionic: 
"SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS, CAKES, MOULDED PIECES OR SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN THE FORM OF LIQUID OR CREAM AND PUT UP FOR RETAIL SALE, WHETHER OR NOT CONTAINING SOAP; PAPER, WADDING, FELT AND NONWOVENS, IMPREGNATED, COATED OR COVERED WITH SOAP OR DETERGENT ",HSN 3401 30 19,,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Other,For toilet use (including medicated products): 
"SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS, CAKES, MOULDED PIECES OR SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN THE FORM OF LIQUID OR CREAM AND PUT UP FOR RETAIL SALE, WHETHER OR NOT CONTAINING SOAP; PAPER, WADDING, FELT AND NONWOVENS, IMPREGNATED, COATED OR COVERED WITH SOAP OR DETERGENT ",HSN 3401 30 11,18,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Medicated toilet soaps,For toilet use (including medicated products): 
"SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS, CAKES, MOULDED PIECES OR SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN THE FORM OF LIQUID OR CREAM AND PUT UP FOR RETAIL SALE, WHETHER OR NOT CONTAINING SOAP; PAPER, WADDING, FELT AND NONWOVENS, IMPREGNATED, COATED OR COVERED WITH SOAP OR DETERGENT ",HSN 3401 30 12,18,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Shaving cream and shaving gel,For toilet use (including medicated products): 
ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 3507 90 20,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Pancretin pure (excluding medicament),Other: 
ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 3507 90 10,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Industrial enzymes (textile assistant),Other: 
"SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS, CAKES, MOULDED PIECES OR SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN THE FORM OF LIQUID OR CREAM AND PUT UP FOR RETAIL SALE, WHETHER OR NOT CONTAINING SOAP; PAPER, WADDING, FELT AND NONWOVENS, IMPREGNATED, COATED OR COVERED WITH SOAP OR DETERGENT ",HSN 3401 20 00,18,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Soap in other forms,Household and laundry soaps not elsewhere specified or included: 
"SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS, CAKES, MOULDED PIECES OR SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN THE FORM OF LIQUID OR CREAM AND PUT UP FOR RETAIL SALE, WHETHER OR NOT CONTAINING SOAP; PAPER, WADDING, FELT AND NONWOVENS, IMPREGNATED, COATED OR COVERED WITH SOAP OR DETERGENT ",HSN 3401 30 90,,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Other,For toilet use (including medicated products): 
"SOAP; ORGANIC SURFACE-ACTIVE PRODUCTS AND PREPARATIONS FOR USE AS SOAP, IN THE FORM OF BARS, CAKES, MOULDED PIECES OR SHAPES, WHETHER OR NOT CONTAINING SOAP; ORGANIC SURFACE ACTIVE PRODUCTS AND PREPARATIONS FOR WASHING THE SKIN, IN THE FORM OF LIQUID OR CREAM AND PUT UP FOR RETAIL SALE, WHETHER OR NOT CONTAINING SOAP; PAPER, WADDING, FELT AND NONWOVENS, IMPREGNATED, COATED OR COVERED WITH SOAP OR DETERGENT ",HSN 3401 19 90,,"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster",Other,Household and laundry soaps not elsewhere specified or included: 
ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 3507 10 99,,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Other,Other: 
ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 3507 10 91,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Animal rennet,Other: 
ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 3507 10 19,,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Other,Microbial rennet: 
"PREPARED GLUES AND OTHER PREPARED ADHESIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; PRODUCTS SUITABLE FOR USE AS GLUES OR ADHESIVES, PUT UP FOR RETAIL SALE AS GLUES OR ADHESIVES, NOT EXCEEDING A NET WEIGHT OF 1 KG ",HSN 3506 99 10,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Synthetic glue with phenol urea or cresol (with formaldehyde) as the main component,Other: 
"PREPARED GLUES AND OTHER PREPARED ADHESIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; PRODUCTS SUITABLE FOR USE AS GLUES OR ADHESIVES, PUT UP FOR RETAIL SALE AS GLUES OR ADHESIVES, NOT EXCEEDING A NET WEIGHT OF 1 KG ",HSN 3506 99 99,,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Other,Prepared glues and other prepared adhesives not elsewhere specified or included: 
"PREPARED GLUES AND OTHER PREPARED ADHESIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; PRODUCTS SUITABLE FOR USE AS GLUES OR ADHESIVES, PUT UP FOR RETAIL SALE AS GLUES OR ADHESIVES, NOT EXCEEDING A NET WEIGHT OF 1 KG ",HSN 3506 91 90,,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Other,Adhesives based on polymers of heading 39 01 to 39 13 or on rubber: 
"PREPARED GLUES AND OTHER PREPARED ADHESIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; PRODUCTS SUITABLE FOR USE AS GLUES OR ADHESIVES, PUT UP FOR RETAIL SALE AS GLUES OR ADHESIVES, NOT EXCEEDING A NET WEIGHT OF 1 KG ",HSN 3506 91 10,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,"Based on latex, Phenol Formaldehyde (PF), Urea Formaldehyde (UF) and Polyvinyl Alcohol (PVA)",Adhesives based on polymers of heading 39 01 to 39 13 or on rubber: 
"DEXTRINS AND OTHER MODIFIED STARCHES (FOR EXAMPLE, PREGELATINISED OR ESTERIFIED STARCHES); GLUES BASED ON STARCHES, OR ON DEXTRINS OR OTHER MODIFIED STARCHES ",HSN 3505 20 00,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Glues,Dextrins and other modified starches: 
ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,HSN 3507 10 11,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Animal rennet,Microbial rennet: 
"PREPARED GLUES AND OTHER PREPARED ADHESIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; PRODUCTS SUITABLE FOR USE AS GLUES OR ADHESIVES, PUT UP FOR RETAIL SALE AS GLUES OR ADHESIVES, NOT EXCEEDING A NET WEIGHT OF 1 KG ",HSN 3506 99 91,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,"Based on starch, gum, latex, PF, UF and PVA",Prepared glues and other prepared adhesives not elsewhere specified or included: 
"PREPARED GLUES AND OTHER PREPARED ADHESIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; PRODUCTS SUITABLE FOR USE AS GLUES OR ADHESIVES, PUT UP FOR RETAIL SALE AS GLUES OR ADHESIVES, NOT EXCEEDING A NET WEIGHT OF 1 KG ",HSN 3506 10 00,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,"Products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1 kg.",
"DEXTRINS AND OTHER MODIFIED STARCHES (FOR EXAMPLE, PREGELATINISED OR ESTERIFIED STARCHES); GLUES BASED ON STARCHES, OR ON DEXTRINS OR OTHER MODIFIED STARCHES ",HSN 3505 10 90,,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Other,Dextrins and other modified starches: 
"DEXTRINS AND OTHER MODIFIED STARCHES (FOR EXAMPLE, PREGELATINISED OR ESTERIFIED STARCHES); GLUES BASED ON STARCHES, OR ON DEXTRINS OR OTHER MODIFIED STARCHES ",HSN 3505 10 10,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Esterified starches,Dextrins and other modified starches: 
"PEPTONES AND THEIR DERIVATIVES; OTHER PROTEIN SUBSTANCES AND THEIR DERIVATIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; HIDE POWDER, WHETHER OR NOT CHROMED ",HSN 3504 00 99,5,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Others,Other: 
"PEPTONES AND THEIR DERIVATIVES; OTHER PROTEIN SUBSTANCES AND THEIR DERIVATIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; HIDE POWDER, WHETHER OR NOT CHROMED ",HSN 3504 00 10,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Peptones,"Peptones and their derivatives; other protein substances and their derivatives, not elsewhere specified or included; hide powder, whether or not chromed: "
"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",HSN 3808 69 00,,Chapter 38 : Miscellaneous chemical products,Other,Other 
"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",HSN 3808 91 11,18,Chapter 38 : Miscellaneous chemical products,Aluminium phosphate (for example phostoxin),Insecticides: 
"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",HSN 3808 62 00,18,Chapter 38 : Miscellaneous chemical products,In packings of a net weight content exceeding 300 g but not  exceeding 7.5 kg.,Other 
"PEPTONES AND THEIR DERIVATIVES; OTHER PROTEIN SUBSTANCES AND THEIR DERIVATIVES, NOT ELSEWHERE SPECIFIED OR INCLUDED; HIDE POWDER, WHETHER OR NOT CHROMED ",HSN 3504 00 91,18,Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,Isolated Soya protein,Other: 
"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",HSN 3808 61 00,18,Chapter 38 : Miscellaneous chemical products,In packings of a net weight content not exceeding 300 g,Other 
"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",HSN 3808 91 13,18,Chapter 38 : Miscellaneous chemical products,D.D.V.P. (Dimethyle-dichloro-vinyl-phosphate),Insecticides: 
"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",HSN 3808 91 12,18,Chapter 38 : Miscellaneous chemical products,Calcium cyanide),Insecticides: 
"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",HSN 3808 52 00,18,Chapter 38 : Miscellaneous chemical products,"DDT (ISO) (clofenotane (INN)), in packings of a net weight content not exceeding 300 g.",Goods specified in Sub-heading Note 1 to this Chapter: 
"WOOD TAR; WOOD TAR OILS; WOOD CREOSOTE; WOOD NAPHTHA; VEGETABLE PITCH; BREWERS? PITCH AND SIMILAR PREPARATIONS BASED ON ROSIN, RESIN ACIDS OR ON VEGETABLE PITCH ",HSN 3807 00 30,18,Chapter 38 : Miscellaneous chemical products,"Vegetable pitch, brewers? pitch and similar preparations based on rosin, resin acids or on vegetable pitch","Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers? pitch and similar preparations based on rosin, resin acids or on vegetable pitch: "
"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",HSN 3808 61-69,   ,Chapter 38 : Miscellaneous chemical products,Goods specified in Sub-heading Note 2 to this Chapter:,Other 
"WOOD TAR; WOOD TAR OILS; WOOD CREOSOTE; WOOD NAPHTHA; VEGETABLE PITCH; BREWERS? PITCH AND SIMILAR PREPARATIONS BASED ON ROSIN, RESIN ACIDS OR ON VEGETABLE PITCH ",HSN 3807 00 20,18,Chapter 38 : Miscellaneous chemical products,"Wood Tar oils, wood creosote, wood naphtha","Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers? pitch and similar preparations based on rosin, resin acids or on vegetable pitch: "
"WOOD TAR; WOOD TAR OILS; WOOD CREOSOTE; WOOD NAPHTHA; VEGETABLE PITCH; BREWERS? PITCH AND SIMILAR PREPARATIONS BASED ON ROSIN, RESIN ACIDS OR ON VEGETABLE PITCH ",HSN 3807 00 10,18,Chapter 38 : Miscellaneous chemical products,Wood Tar,"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers? pitch and similar preparations based on rosin, resin acids or on vegetable pitch: "
"ROSIN AND RESIN ACIDS, AND DERIVATIVES THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS ",HSN 3806 90 10,18,Chapter 38 : Miscellaneous chemical products,Run gums,Other: 
"ROSIN AND RESIN ACIDS, AND DERIVATIVES THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS ",HSN 3806 20 00,18,Chapter 38 : Miscellaneous chemical products,"Salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts",Rosin and resin acids: 
"ROSIN AND RESIN ACIDS, AND DERIVATIVES THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS ",HSN 3806 90 90,,Chapter 38 : Miscellaneous chemical products,Other,Other: 
"ROSIN AND RESIN ACIDS, AND DERIVATIVES THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS ",HSN 3806 10 90,,Chapter 38 : Miscellaneous chemical products,Other,Rosin and resin acids: 
"ROSIN AND RESIN ACIDS, AND DERIVATIVES THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS ",HSN 3806 10 10,18,Chapter 38 : Miscellaneous chemical products,Gum rosin,Rosin and resin acids: 
"GUM, WOOD OR SULPHATE TURPENTINE AND OTHER TERPENIC OILS PRODUCED BY THE DISTILLATION OR OTHER TREATMENT OF CONIFEROUS WOODS; CRUDE DIPENTENE; SULPHITE TURPENTINE AND OTHER CRUDE PARACYMENE; PINE OIL CONTAINING ALPHA- TERPINEOL AS THE MAIN CONSTITUENT ",HSN 3805 90 90,,Chapter 38 : Miscellaneous chemical products,Other,Other: 
"GUM, WOOD OR SULPHATE TURPENTINE AND OTHER TERPENIC OILS PRODUCED BY THE DISTILLATION OR OTHER TREATMENT OF CONIFEROUS WOODS; CRUDE DIPENTENE; SULPHITE TURPENTINE AND OTHER CRUDE PARACYMENE; PINE OIL CONTAINING ALPHA- TERPINEOL AS THE MAIN CONSTITUENT ",HSN 3805 90 30,18,Chapter 38 : Miscellaneous chemical products,Sulphite turpentine,Other: 
"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS ",HSN 3102 30 00,12,Chapter 31 : Fertilisers,"Ammonium nitrate, whether or not in aqueous solution",Other: 
"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS ",HSN 3102 29 90,,Chapter 31 : Fertilisers,Other,Other: 
"ROSIN AND RESIN ACIDS, AND DERIVATIVES THEREOF; ROSIN SPIRIT AND ROSIN OILS; RUN GUMS ",HSN 3806 30 00,18,Chapter 38 : Miscellaneous chemical products,Easter gums,Rosin and resin acids: 
"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS ",HSN 3102 29 10,12,Chapter 31 : Fertilisers,Ammonium sulphonitrate,Other: 
"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS ",HSN 3102 21 00,12,Chapter 31 : Fertilisers,Ammonium sulphate,Ammonium sulphate; double salts and mixtures of ammonium sulphate and ammonium nitrate: 
"MINERAL OR CHEMICAL FERTILISERS, NITROGENOUS ",HSN 3102 10 00,12,Chapter 31 : Fertilisers,"Urea, whether or not in aqueous solution",
"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS ",HSN 3101 00 91,0,Chapter 31 : Fertilisers,Animal dung,Other: 
"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS ",HSN 3101 00 92,0,Chapter 31 : Fertilisers,Animal excreta,Other: 
"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS ",HSN 3101 00 10,0,Chapter 31 : Fertilisers,Guano,"Animal or vegetable fertilisers, whether or not mixed together or chemically treated; fertilisers produced by the mixing or chemical treatment of animal or vegetable products: "
"TANNING EXTRACTS OF VEGETABLE ORIGIN; TANNINS AND THEIR SALTS, ETHERS, ESTERS AND OTHER DERIVATIVES ",HSN 3201 10 00,5,"Chapter 32 : Tanning or dyeing extracts;tannins and their derivatives; dyes,pigments and other colouring matter; paints and varnishes; putty and other mastics; inks",Quebracho extract,
OTHER ARTICLES OF LEATHER OR OF COMPOSITION LEATHER ,HSN 4205 00 11,18,"Chapter 42 : Articles of leather; saddlery and harness;travel goods,handbags and similar containers;articles of animal gut (other than silk-worm gut)",Welt,Straps other than for machinery or harness: 
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF LEATHER OR OF COMPOSITION LEATHER ",HSN 4203 40 90,,"Chapter 42 : Articles of leather; saddlery and harness;travel goods,handbags and similar containers;articles of animal gut (other than silk-worm gut)",Other,Other clothing accessories: 
"ANIMAL OR VEGETABLE FERTILISERS, WHETHER OR NOT MIXED TOGETHER OR CHEMICALLY TREATED; FERTILISERS PRODUCED BY THE MIXING OR CHEMICAL TREATMENT OF ANIMAL OR VEGETABLE PRODUCTS ",HSN 3101 00 99,,Chapter 31 : Fertilisers,Other,Other: 
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF LEATHER OR OF COMPOSITION LEATHER ",HSN 4203 40 10,18,"Chapter 42 : Articles of leather; saddlery and harness;travel goods,handbags and similar containers;articles of animal gut (other than silk-worm gut)",Aprons,Other clothing accessories: 
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF LEATHER OR OF COMPOSITION LEATHER ",HSN 4203 29 30,12,"Chapter 42 : Articles of leather; saddlery and harness;travel goods,handbags and similar containers;articles of animal gut (other than silk-worm gut)",Mittens and mitts,Other: 
"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, OF LEATHER OR OF COMPOSITION LEATHER ",HSN 4203 21 10,12,"Chapter 42 : Articles of leather; saddlery and harness;travel goods,handbags and similar containers;articles of animal gut (other than silk-worm gut)",Gloves,Specially designed for use in sports: 
