chapter_name,sub_chapter_name,category_name,sub_category_name,hsn,rate
Chapter 37 : Photographic or cinematographic goods,"PHOTOGRAPHIC FILM IN ROLLS, SENSITISED, UNEXPOSED, OF ANY MATERIAL OTHER THAN PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT FILM IN ROLLS, SENSITISED, UNEXPOSED ",Of a width exceeding 35 mm: ,Cinematographic film,HSN 3702 98 10,18
Chapter 39 : Plastics and articles thereof,"POLYACETALS, OTHER POLYETHERS AND EPOXIDE RESINS, IN PRIMARY FORMS; POLYCARBONATES, ALKYD RESINS, POLYALLYLESTERS AND OTHER POLYESTERS, IN PRIMARY FORMS ",Epoxide resins: ,Other,HSN 3907 30 90,
Chapter 37 : Photographic or cinematographic goods,"PHOTOGRAPHIC FILM IN ROLLS, SENSITISED, UNEXPOSED, OF ANY MATERIAL OTHER THAN PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT FILM IN ROLLS, SENSITISED, UNEXPOSED ",Of a width not exceeding 35 mm and of a length exceeding 30 m: Cinematographic film: ,Other,HSN 3702 97 19,
Chapter 37 : Photographic or cinematographic goods,"PHOTOGRAPHIC FILM IN ROLLS, SENSITISED, UNEXPOSED, OF ANY MATERIAL OTHER THAN PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT FILM IN ROLLS, SENSITISED, UNEXPOSED ",Cinematographic film: ,Other,HSN 3702 96 19,
Chapter 37 : Photographic or cinematographic goods,"PHOTOGRAPHIC FILM IN ROLLS, SENSITISED, UNEXPOSED, OF ANY MATERIAL OTHER THAN PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT FILM IN ROLLS, SENSITISED, UNEXPOSED ",Of a width not exceeding 35 mm and of a length exceeding 30 m: Cinematographic film: ,Not exceeding 16 mm,HSN 3702 97 11,18
Chapter 37 : Photographic or cinematographic goods,"PHOTOGRAPHIC FILM IN ROLLS, SENSITISED, UNEXPOSED, OF ANY MATERIAL OTHER THAN PAPER, PAPERBOARD OR TEXTILES; INSTANT PRINT FILM IN ROLLS, SENSITISED, UNEXPOSED ",Of a width exceeding 35 mm: ,Other,HSN 3702 98 90,
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ",Other: ,Other,HSN 4008 29 90,
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ",Other: ,Rubber sheets and Resin rubber sheets for soles and heels,HSN 4008 29 10,18
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ",Other: ,"Blocks used in the manufacture of soles , heels or soles and heels combined, for footwear",HSN 4008 29 20,18
Chapter 40 : Rubber and articles thereof,"TUBES, PIPES AND HOSES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER, WITH OR WITHOUT THEIR FITTINGS (FOR EXAMPLE, JOINTS, ELBOWS, FLANGES) ",Not reinforced or otherwise combined with other materials: ,Without fittings,HSN 4009 11 00,18
Chapter 40 : Rubber and articles thereof,"TUBES, PIPES AND HOSES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER, WITH OR WITHOUT THEIR FITTINGS (FOR EXAMPLE, JOINTS, ELBOWS, FLANGES) ",Not reinforced or otherwise combined with other materials: ,With fittings,HSN 4009 12 00,18
Chapter 37 : Photographic or cinematographic goods,"PHOTOGRAPHIC PAPER, PAPER BOARD AND TEXTILES SENSITISED, UNEXPOSED ",In rolls of a width exceeding 610 mm: ,Textiles,HSN 3703 10 20,18
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ",Other: ,Latex foam sponge,HSN 4008 29 30,18
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ",Other: ,Tread rubber and tread packing strip for resoling are repairing or retreading rubber tyres,HSN 4008 29 40,18
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ","Plates , sheets and strip: ",Other,HSN 4008 21 90,
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ","Plates , sheets and strip: ",For resoling or repairing or retreading rubber typres,HSN 4008 21 20,18
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ","Plates , sheets and strip: ","Used in the manufacture of soles, heels, or soles and heels combined, for footwear",HSN 4008 21 10,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Tuberose concentrate; Nutmeg oil; Palmarosa oil; Patchouli oil; Pepper oil; Petitgrain oil; Sandalwood oil; Rose oil: ,Sandalwood oil,HSN 3301 29 37,18
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ","Plates, sheets and strip: ",Other,HSN 4008 11 90,
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ",Other: ,Other,HSN 4008 19 90,
Chapter 40 : Rubber and articles thereof,"PLATES, SHEETS, STRIP, RODS AND PROFILE SHAPES, OF VULCANISED RUBBER OTHER THAN HARD RUBBER ",Other: ,"Block of micro-cellular rubber but not of latex foam sponge, used in the manufacture of soles, heels or soles and heels combined, for footwear",HSN 4008 19 10,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Tuberose concentrate; Nutmeg oil; Palmarosa oil; Patchouli oil; Pepper oil; Petitgrain oil; Sandalwood oil; Rose oil: ,Petitgrain oil,HSN 3301 29 36,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Tuberose concentrate; Nutmeg oil; Palmarosa oil; Patchouli oil; Pepper oil; Petitgrain oil; Sandalwood oil; Rose oil: ,Pepper oil,HSN 3301 29 35,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Tuberose concentrate; Nutmeg oil; Palmarosa oil; Patchouli oil; Pepper oil; Petitgrain oil; Sandalwood oil; Rose oil: ,Nutmeg oil,HSN 3301 29 32,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Clove leaf or stem oil; Coriander seed oil; Dill oil; Eucalyptus oil; Fennel seed oil; Ginger oil; Ginger grass oil; Clove bud oil: ,Ginger grass oil,HSN 3301 29 27,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Clove leaf or stem oil; Coriander seed oil; Dill oil; Eucalyptus oil; Fennel seed oil; Ginger oil; Ginger grass oil; Clove bud oil: ,Ginger oil,HSN 3301 29 26,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Tuberose concentrate; Nutmeg oil; Palmarosa oil; Patchouli oil; Pepper oil; Petitgrain oil; Sandalwood oil; Rose oil: ,Tuberose concentrate,HSN 3301 29 31,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Tuberose concentrate; Nutmeg oil; Palmarosa oil; Patchouli oil; Pepper oil; Petitgrain oil; Sandalwood oil; Rose oil: ,Palmarosa oil,HSN 3301 29 33,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Clove leaf or stem oil; Coriander seed oil; Dill oil; Eucalyptus oil; Fennel seed oil; Ginger oil; Ginger grass oil; Clove bud oil: ,Clove bud oil,HSN 3301 29 28,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Clove leaf or stem oil; Coriander seed oil; Dill oil; Eucalyptus oil; Fennel seed oil; Ginger oil; Ginger grass oil; Clove bud oil: ,Fennel seed oil,HSN 3301 29 25,18
"Chapter 33 : Essential oils and resinoids perfumery,cosmetic or toilet preparations","ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETES AND ABSOLUTES; RESINOIDS; EXTRACTED OLEORESINS; CONCENTRATES OF ESSENTIAL OILS IN FATS, IN FIXED OILS, IN WAXES OR THE LIKE, OBTAINED BY ENFLEURAGE OR MACERATION; TERPENIC BY- PRODUCTS OF THE DETERPENATION OF ESSENTIAL OILS; AQUEOUS DISTILLATES AND AQUEOUS SOLUTIONS OF ESSENTIAL OILS ",Tuberose concentrate; Nutmeg oil; Palmarosa oil; Patchouli oil; Pepper oil; Petitgrain oil; Sandalwood oil; Rose oil: ,Patchouli oil,HSN 3301 29 34,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","LUBRICATING PREPARATIONS (INCLUDING CUTTING-OIL PREPARATIONS, BOLT OR NUT RELEASE PREPARATIONS, ANTI-RUST OR ANTI-CORROSION PREPARATIONS AND MOULD RELEASE PREPARATIONS, BASED ON LUBRICANTS) AND PREPARATIONS OF A KIND USED FOR THE OIL OR GREASE TREATMENT OF TEXTILE MATERIALS, LEATHER, FURSKINS OR OTHER MATERIALS, BUT EXCLUDING PREPARATIONS CONTAINING, AS BASIC CONSTITUENTS, 70 % OR MORE BY WEIGHT OF PETROLEUM OILS OR OF OILS OBTAINED FROM BITUMINOUS MINERALS ",Other: ,"Preparations for the treatment of textile materials, leather, furskins or other materials",HSN 3403 91 00,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Other: ,Cleaning or degreasing preparations not having a basis of soap or other organic surface active agents,HSN 3402 90 92,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Other: ,Other,HSN 3402 90 99,
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Washing preparations whether or not containing soaps: ,Other,HSN 3402 90 59,
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Washing preparations whether or not containing soaps: ,Cleaning or degreasing preparations not having a basis of soap or other organic surface active agents,HSN 3402 90 52,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","LUBRICATING PREPARATIONS (INCLUDING CUTTING-OIL PREPARATIONS, BOLT OR NUT RELEASE PREPARATIONS, ANTI-RUST OR ANTI-CORROSION PREPARATIONS AND MOULD RELEASE PREPARATIONS, BASED ON LUBRICANTS) AND PREPARATIONS OF A KIND USED FOR THE OIL OR GREASE TREATMENT OF TEXTILE MATERIALS, LEATHER, FURSKINS OR OTHER MATERIALS, BUT EXCLUDING PREPARATIONS CONTAINING, AS BASIC CONSTITUENTS, 70 % OR MORE BY WEIGHT OF PETROLEUM OILS OR OF OILS OBTAINED FROM BITUMINOUS MINERALS ",Containing petroleum oils or oils obtained from bituminous minerals: ,Other,HSN 3403 19 00,
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Other: ,"Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents",HSN 3402 90 91,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Washing preparations whether or not containing soaps: ,"Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents",HSN 3402 90 51,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Wetting agents: ,Other,HSN 3402 90 49,
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Synthetic detergents: ,Penetrators,HSN 3402 90 30,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Wetting agents: ,Cleaning or degreasing preparations not having a basis of soap or other organic surface active agents,HSN 3402 90 42,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Wetting agents: ,"Washing preparations (including auxiliary washing preparations) and cleaning preparations, having a basis of soap or other organic surface active agents",HSN 3402 90 41,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","LUBRICATING PREPARATIONS (INCLUDING CUTTING-OIL PREPARATIONS, BOLT OR NUT RELEASE PREPARATIONS, ANTI-RUST OR ANTI-CORROSION PREPARATIONS AND MOULD RELEASE PREPARATIONS, BASED ON LUBRICANTS) AND PREPARATIONS OF A KIND USED FOR THE OIL OR GREASE TREATMENT OF TEXTILE MATERIALS, LEATHER, FURSKINS OR OTHER MATERIALS, BUT EXCLUDING PREPARATIONS CONTAINING, AS BASIC CONSTITUENTS, 70 % OR MORE BY WEIGHT OF PETROLEUM OILS OR OF OILS OBTAINED FROM BITUMINOUS MINERALS ",Containing petroleum oils or oils obtained from bituminous minerals: ,"Preparations for the treatment of textile materials, leather, furskins or other materials",HSN 3403 11 00,18
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Synthetic detergents: ,Other,HSN 3402 90 19,
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Other,HSN 3507 90 99,
"Chapter 34 : Soap, organic surface-active agents, washing preparations,lubricating preparations,artificial waxes,prepared waxes,polishing or scouring preparations,candles and similar articles,modelling pastes,dental waxes and dental preparations with a basis of plaster","ORGANIC SURFACE-ACTIVE AGENTS (OTHER THAN SOAP), SURFACE- ACTIVE PREPARATIONS, WASHING PREPARATIONS (INCLUDING AUXILIARY WASHING PREPARATIONS) AND CLEANING PREPARATIONS, WHETHER OR NOT CONTAINING SOAP, OTHER THAN THOSE OF HEADING 3401 ",Synthetic detergents: ,Sulphonated or sulphated or oxidised or chlorinated castor oil; Sulphonated or sulphated or oxidised or chlorinated fish oil; Sulphonated or sulphated or oxidised or chlorinated sperm oil; Sulphonated or sulphated or oxidised or chlorinated neats foot oil,HSN 3402 90 20,5
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Enzymatic preparations containing food stuffs,HSN 3507 90 91,18
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,"Enzymes for pharmaceutical use, other than streptokinase: ",Other,HSN 3507 90 79,
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other enzymes of microbial origin: ,Amylases enzymes,HSN 3507 90 62,18
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other enzymes of microbial origin: ,Other,HSN 3507 90 69,
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,"Enzymes for pharmaceutical use, other than streptokinase: ","Papain, pure, of pharmaceutical grade",HSN 3507 90 71,18
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Pectolytic enzyme (pectimase),HSN 3507 90 50,18
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Pectin esterases pure,HSN 3507 90 40,18
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other enzymes of microbial origin: ,Streptokinase,HSN 3507 90 61,18
Chapter 38 : Miscellaneous chemical products,"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",Fungicides: ,Thiram (tetra methyl thiuram disulphide),HSN 3808 92 30,18
Chapter 38 : Miscellaneous chemical products,"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",Fungicides: ,Sodium penta chlorophenate (santrobrite),HSN 3808 92 20,18
Chapter 35 : Aluminoidal substances;modified starches; glues;enzymes,ENZYMES; PREPARED ENZYMES NOT ELSEWHERE SPECIFIED OR INCLUDED ,Other: ,Pepsin (excluding medicament),HSN 3507 90 30,18
Chapter 38 : Miscellaneous chemical products,"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",Fungicides: ,Maneb,HSN 3808 92 10,18
Chapter 38 : Miscellaneous chemical products,"INSECTICIDES, RODENTICIDES, FUNGICIDES, HERBICIDES, ANTI- SPROUTING PRODUCTS AND PLANT- GROWTH REGULATORS, DISINFECTANTS AND SIMILAR PRODUCTS, PUT UP IN FORMS OR PACKINGS FOR RETAIL SALE OR AS PREPARATIONS OR ARTICLES (FOR EXAMPLE, SULPHUR-TREATED BANDS,WICKS AND CANDLES, AND FLY- PAPERS) ",Other ,Other,HSN 3808 91 99,
